SNR_dB,PSNR_dB,SSIM
-5,3.42675657108503,0.09269806821085844
-4,3.6927091426129763,0.14655529641106171
-3,3.787491985010814,0.16483256172376948
-2,3.8720692078130368,0.1806723873512707
-1,4.221883398977284,0.2440404933979254
0,4.522609934299811,0.29448092996747843
1,5.033314175283692,0.3732018228134101
2,5.432819130986444,0.4282778060924528
3,6.177862897364121,0.5179532157133002
4,6.945887163177844,0.595943515663558
5,8.055463011979413,0.6873364056396116
6,9.304329665561736,0.7650800213647977
7,11.098062433882546,0.8432991080476886
8,12.769590820499868,0.893502668263192
9,15.360685601886122,0.9412675566251443
10,18.464968232634565,0.9712431428647867
11,21.953748848644587,0.9863528396645382
12,31.142171505479297,0.9961007775903038
13,56.262874945799766,0.9997562971935421
14,60.0,1.0
15,60.0,1.0
16,60.0,1.0
17,60.0,1.0
18,60.0,1.0
19,60.0,1.0
20,60.0,1.0
